"ccode","county","province","eligible","Bartoszewicz","Biejat","Braun","Hołownia","Jakubiak","Maciak","Mentzen","Nawrocki","Senyszyn","Stanowski","Trzaskowski","Woch","Zandberg","eligible2","spoilt","N2","T2"
260900,"sandomierski","świętokrzyskie",58379,162,997,3079,1498,280,68,5406,14595,307,292,8055,20,969,57502,290,25026,12974
261000,"skarżyski","świętokrzyskie",54087,172,1226,2400,1478,319,57,4358,11673,323,430,10392,22,1172,53244,351,19822,16112
261100,"starachowicki","świętokrzyskie",65971,222,1269,3349,1638,364,107,5759,15823,332,448,10712,46,1252,65086,341,26892,16673
261200,"staszowski","świętokrzyskie",54585,122,791,2900,1087,249,85,5271,15931,227,286,5748,39,977,53937,253,26541,9948
261300,"włoszczowski","świętokrzyskie",34972,77,588,1952,787,159,38,3772,10364,148,185,3692,18,734,34511,182,17441,6453
266100,"Kielce","świętokrzyskie",140631,468,3840,6054,4918,819,167,11091,27708,1072,1244,35554,86,4296,139565,948,47736,55383
280100,"bartoszycki","warmińsko-mazurskie",41528,102,852,1382,1170,186,44,3468,6528,199,199,8173,16,708,41063,199,12109,12395
280200,"braniewski","warmińsko-mazurskie",29128,91,700,877,896,109,36,2700,4417,160,185,5601,22,490,28710,141,8554,8461
280300,"działdowski","warmińsko-mazurskie",47600,146,1097,1699,1279,237,54,4720,9612,204,267,7433,27,1078,47285,263,17820,12089
280400,"elbląski","warmińsko-mazurskie",41935,96,931,1582,1226,170,55,3797,6509,241,265,7822,13,807,41715,234,12686,12567
280500,"ełcki","warmińsko-mazurskie",64027,252,1276,2717,1792,316,71,6364,10414,310,400,10931,33,1236,63760,298,20497,17425
280600,"giżycki","warmińsko-mazurskie",41595,138,1027,1622,1242,164,56,3496,6019,258,298,9475,45,786,42784,256,12104,15606
280700,"iławski","warmińsko-mazurskie",68570,176,1733,2609,2123,288,73,7250,12700,385,418,12794,44,1588,68234,355,23989,20621
280800,"kętrzyński","warmińsko-mazurskie",44469,111,992,1522,1137,143,54,3807,6740,185,221,8576,31,788,43993,205,12644,13074
280900,"lidzbarski","warmińsko-mazurskie",29256,87,745,1049,801,112,31,2505,4495,176,187,5775,6,599,28974,158,8544,8945
281000,"mrągowski","warmińsko-mazurskie",36636,105,851,1520,1092,154,60,3337,5779,186,244,7652,16,795,37327,202,11259,12436
281100,"nidzicki","warmińsko-mazurskie",23855,69,455,874,489,107,26,2470,4788,95,90,3802,5,450,23750,138,8898,5916
281200,"nowomiejski","warmińsko-mazurskie",32027,67,660,1145,914,121,30,3966,6780,157,216,4655,16,647,31826,170,12545,7717
281300,"olecki","warmińsko-mazurskie",23818,94,427,1188,627,79,44,2169,3981,117,161,3633,12,400,23700,98,7824,5858
281400,"olsztyński","warmińsko-mazurskie",98952,342,3018,3328,3449,521,119,9539,14395,629,809,22182,50,2814,99163,632,28893,36300
281500,"ostródzki","warmińsko-mazurskie",75625,181,1876,2898,2178,275,91,6870,11290,411,452,16010,40,1572,75545,371,22083,25088
281600,"piski","warmińsko-mazurskie",41431,122,749,1719,1030,185,50,4376,8128,176,229,6023,12,712,41385,203,15091,10107
281700,"szczycieński","warmińsko-mazurskie",52448,178,1170,2078,1490,256,83,5160,9780,283,322,9234,26,1099,52795,287,18280,15237
281800,"gołdapski","warmińsko-mazurskie",18822,52,396,743,511,37,28,1745,2754,90,76,3472,3,276,18712,61,5524,5271
281900,"węgorzewski","warmińsko-mazurskie",16620,63,423,581,463,59,27,1531,2429,82,100,3446,7,285,16667,68,4732,5508
286100,"Elbląg","warmińsko-mazurskie",82651,244,2344,2352,2815,365,85,6345,12878,535,735,22262,43,2108,81831,530,22593,33353
286200,"Olsztyn","warmińsko-mazurskie",124544,472,4855,3659,4786,713,133,10731,17742,1104,1313,36278,95,5873,126177,889,34128,59509
300100,"chodzieski","wielkopolskie",34907,113,1075,1380,1524,159,45,3214,4655,224,258,8650,29,1045,34493,235,9439,13570
300200,"czarnkowsko-trzcianecki","wielkopolskie",63508,193,1514,2398,2209,219,79,6008,10016,410,435,13928,42,1375,63012,361,19153,22100
300300,"gnieźnieński","wielkopolskie",107998,385,3635,3848,4513,505,126,11074,18049,712,903,23581,69,3080,107295,713,35025,39193
300400,"gostyński","wielkopolskie",56386,115,1413,2567,1795,267,73,7356,10815,347,379,8483,26,1271,55864,328,22162,14544
300500,"grodziski","wielkopolskie",38684,124,1055,1569,1554,183,57,4528,6915,293,308,6691,35,1086,38452,231,13753,11826
300600,"jarociński","wielkopolskie",53137,165,1333,2152,1870,288,60,6011,10300,374,400,8977,25,1507,52724,394,20059,15665
300700,"kaliski","wielkopolskie",64240,186,1398,2961,2028,287,57,7466,16240,363,455,8182,24,1368,63685,363,29125,14522
300800,"kępiński","wielkopolskie",42650,135,932,1798,1512,210,51,4957,8096,270,319,8113,16,1027,42207,266,15527,13469
300900,"kolski","wielkopolskie",64140,180,1267,2552,1418,247,88,6488,16636,265,359,8635,28,1275,63430,329,28599,13773
301000,"koniński","wielkopolskie",100439,309,2322,4423,2593,448,109,10776,26583,546,703,12427,72,2379,99705,565,46299,21738
301100,"kościański","wielkopolskie",59252,165,1844,2309,2483,309,72,6328,9962,405,445,12043,38,1724,58964,404,20033,20539
301200,"krotoszyński","wielkopolskie",56853,190,1393,2487,1897,277,65,6362,10973,358,423,9467,41,1397,56413,368,21410,16203
301300,"leszczyński","wielkopolskie",45615,159,1425,1962,1940,250,56,5753,7691,371,370,8296,35,1322,45492,336,16244,14715
301400,"międzychodzki","wielkopolskie",27709,80,785,1232,946,118,28,2708,3705,157,205,6164,26,668,27682,193,7727,9976
301500,"nowotomyski","wielkopolskie",56628,193,1687,2440,2447,234,52,6036,8406,438,475,12986,46,1623,56393,406,16954,21736
301600,"obornicki","wielkopolskie",43729,125,1364,1688,1674,192,54,4159,6343,336,396,10774,30,1276,43423,280,12541,16965
301700,"ostrowski","wielkopolskie",121687,422,3056,5277,4444,584,153,12521,22454,777,945,25057,75,3135,120186,737,43262,40407
301800,"ostrzeszowski","wielkopolskie",42122,142,988,1839,1518,186,55,4847,8081,275,276,7044,24,1071,41707,262,15821,12363
301900,"pilski","wielkopolskie",97503,326,2859,3564,3566,384,90,9434,15171,614,684,23388,63,2437,96456,549,28961,36385
302000,"pleszewski","wielkopolskie",47434,129,1098,1822,1663,232,71,5326,9695,262,350,8167,24,995,47131,314,18046,13513
302100,"poznański","wielkopolskie",322805,1151,13759,10317,17002,1789,339,30438,39492,3417,3963,105458,241,14309,323518,2541,82399,171070
302200,"rawicki","wielkopolskie",45487,133,1311,2090,1598,235,50,4944,7401,277,330,8373,21,1113,45058,314,15307,13917
302300,"słupecki","wielkopolskie",45085,147,1027,1671,1475,184,49,4692,9733,257,289,7343,25,1082,44818,270,17516,12379
302400,"szamotulski","wielkopolskie",70770,269,2306,2949,2886,282,69,6671,9918,575,573,17607,44,2140,70457,488,20412,28483
302500,"średzki","wielkopolskie",45226,130,1502,1731,2057,251,56,4921,7436,340,394,9237,46,1410,45138,353,15137,16127
302600,"śremski","wielkopolskie",45914,166,1579,1953,1921,215,92,4914,7165,339,391,9310,23,1375,45738,305,14961,16038
302700,"turecki","wielkopolskie",62743,162,1480,2903,1766,289,69,6549,16073,337,408,8732,30,1387,62206,346,28121,14809
302800,"wągrowiecki","wielkopolskie",52092,144,1485,2055,2267,231,73,5421,8122,330,376,10959,26,1365,51793,307,16429,18068
302900,"wolsztyński","wielkopolskie",43235,142,1188,1867,1817,219,55,5416,6951,273,356,8640,32,1253,42969,304,14742,14554
303000,"wrzesiński","wielkopolskie",58746,184,1805,2398,2626,318,92,6212,10572,411,523,11762,47,1671,58297,397,20746,20068
303100,"złotowski","wielkopolskie",50543,131,1182,1965,1763,204,66,5008,7223,307,308,10440,33,1120,50017,255,14556,16496
306100,"Kalisz","wielkopolskie",70555,173,1973,2441,2318,297,82,5294,11700,468,583,20023,40,2177,69761,424,20275,29834
306200,"Konin","wielkopolskie",51830,139,1600,1655,1528,215,61,3852,10510,338,396,12741,28,1433,51322,326,17255,19151
306300,"Leszno","wielkopolskie",44607,133,1703,1288,1750,180,47,3677,5672,319,357,13383,23,1412,44057,284,10908,20691
306400,"Poznań","wielkopolskie",407035,1313,20865,9862,18420,1819,419,29425,44505,5389,4325,134124,306,32927,413189,3509,88225,235288
320100,"białogardzki","zachodniopomorskie",33643,65,849,1117,716,107,37,2775,4902,165,210,7122,20,584,33225,181,9407,10829
320200,"choszczeński","zachodniopomorskie",34774,92,848,1045,970,101,52,2947,5473,142,180,6709,12,672,34277,183,10392,10593
320300,"drawski","zachodniopomorskie",41749,97,949,1639,1093,124,58,3456,6007,202,227,9081,24,709,41113,220,11601,13485
320400,"goleniowski","zachodniopomorskie",61919,194,1698,2052,1714,239,58,5547,9321,357,448,14426,25,1518,61537,390,17857,22234
320500,"gryficki","zachodniopomorskie",46132,107,1081,1446,1277,145,62,3338,7386,196,262,11083,17,930,49551,285,14223,18804
320600,"gryfiński","zachodniopomorskie",59514,152,1261,2266,1598,195,57,5044,10501,360,400,11971,27,1369,59161,334,18970,18667
320700,"kamieński","zachodniopomorskie",37025,79,936,1190,948,141,64,2737,5553,198,210,9748,32,730,39847,189,11162,15832
320800,"kołobrzeski","zachodniopomorskie",65755,203,1967,2117,2130,241,63,4806,10666,396,410,19436,28,1366,71349,387,20739,31774
320900,"koszaliński","zachodniopomorskie",51408,149,1475,2042,1767,218,53,4779,7704,325,348,12269,31,1063,54099,322,15977,20596
321000,"myśliborski","zachodniopomorskie",47022,112,994,1874,1108,129,63,3916,7331,231,276,9794,25,889,46506,225,13633,15240
321100,"policki","zachodniopomorskie",61789,221,2095,2103,2428,303,55,5195,8156,519,637,18862,39,2240,61856,427,16082,29642
321200,"pyrzycki","zachodniopomorskie",28236,56,568,1037,731,88,41,2702,5814,148,149,4672,11,563,28073,150,10302,7522
321300,"sławieński","zachodniopomorskie",43740,120,1130,1671,1264,158,46,4131,7496,242,279,10099,24,814,46192,286,15021,16330
321400,"stargardzki","zachodniopomorskie",88775,284,2296,3201,3003,372,79,7878,14666,501,705,20885,46,2234,88295,491,27189,32463
321500,"szczecinecki","zachodniopomorskie",55070,151,1271,2006,1415,205,76,4436,9104,289,299,11921,32,1022,54630,290,16672,17766
321600,"świdwiński","zachodniopomorskie",33685,76,754,1184,888,116,35,2749,5478,169,184,7041,15,583,33233,197,9948,10542
321700,"wałecki","zachodniopomorskie",37754,117,1027,1286,1118,154,29,3260,5285,217,238,8842,25,886,37313,238,10311,13513
321800,"łobeski","zachodniopomorskie",25581,70,475,881,672,75,36,1835,4046,128,114,5066,9,451,25473,144,7428,7761
326100,"Koszalin","zachodniopomorskie",77068,211,2678,2428,2811,324,87,6010,10701,587,648,23379,51,1924,76751,454,19859,35422
326200,"Szczecin","zachodniopomorskie",280501,918,9815,8574,9711,1290,273,20633,40601,2626,2937,83816,166,12308,280400,1974,74229,132943
326300,"Świnoujście","zachodniopomorskie",30732,88,890,1060,805,109,44,2294,4207,157,195,9756,12,743,31972,173,8265,14708
